start,end,text,file
0.0,9.86," Okay, so the Tesla RoboTaxi unveiling event was a couple days ago, and it might be the",
9.86,16.84, weirdest tech event I've ever been to. You might have seen some clips from it at this point.,
17.22,24.400000000000002," I was there. I rode in the self-driving RoboTaxi. I explored the insane looking RoboVan,",
24.400000000000002,29.98," and I talked to the Optimus robot, and then I left feeling kind of confused. It was just a",
29.98,36.0," weird event. So here are the three main big reasons why. So first of all, the RoboCab. This",
36.0,42.06," was the main thing that we knew we were going to see, this full unveiling of a fully self-driving",
42.06,49.54," Tesla. And we saw it, and it looked like this. Very, very much like a mini Cybertruck. Like,",
49.54,54.82," you've got the light bar on the front, the light bar on the back, the complete lack of rear visibility.",
54.82,60.38," Then, of course, you can see it's a two-door, two-seater passenger car. People were wondering,",
60.38,66.12," like, what a full self-driving RoboCab or CyberTaxi, whatever we're calling it, would actually look like,",
66.18,70.98, whether it looked dramatically different from a normal car like a Model 3 or even a Waymo. And,
70.98,74.42, there are some things that are significantly different about this thing they rolled out. I,
74.42,79.94," mean, on the outside, it's light gold. Every single one is this, like, silvery gold color,",
79.94,84.92, although there was never any mention of actual materials. Pretty small footprint. You can see,
84.92,89.75999999999999," there's no exterior door handles or mirrors or anything like that. And then, since they don't",
89.75999999999999,96.1," need any steering wheel or pedals, they can sort of push the seating position way back into this more,",
96.1,100.08," like, loungy seating position, kind of near the middle of the car. There's a center armrest,",
100.5,107.52," and there's a massive 21-inch touchscreen in the center. And yes, the doors go up. As if Tesla hasn't",
107.52,112.69999999999999," learned from their lessons of the Model X, they're making another crazy set of doors, which honestly",
112.69999999999999,119.22," is definitely a hit visually. It's a striking feature of this car alongside the wheels, which at",
119.22,125.44," first just look like these huge gold discs. But then when you take a closer look, they're actually",
125.44,132.12," just normal 21-inch low rolling resistance continental tires, but they've painted half of the sidewall",
132.12,139.16," gold to match the caps in the middle. So it makes it look like a super thin, low-profile tire with a",
139.16,145.16," huge wheel, but it's not. It's just paint. But either way, no idea how much of this is going to",
145.16,150.72," make it to any sort of final production. But after waiting in line for a bit, I got to ride in this",
150.72,157.8," thing for a few minutes. So I got in, the screen told me to buckle my seatbelt, and once I did,",
157.8,163.58," the door automatically closed. Pretty smart. Then I just selected the destination, which was on this",
163.58,169.42000000000002," screen along this route, which I assume was pre-mapped, and then it just started rolling.",
169.84,176.06," Just started going. Now, I've been in a self-driving Tesla before, but this one is just a little bit more",
176.06,181.26000000000002," nervy since there's people everywhere, and there's no steering wheel in front of me. But once you get",
181.26000000000002,186.42000000000002," over the eeriness of basically being trapped in this driverless car with no manual override, I started",
186.42,190.85999999999999," looking around and noticing a few other things. You know, you sit pretty low to the road, similar to",
190.85999999999999,197.07999999999998," a Model 3, but with more legroom since the seating position's further back. And then there's even fewer",
197.07999999999998,202.56," physical controls than ever before in this car. Like, I basically only found that the window switches",
202.56,208.45999999999998," were in the middle next to the cup holders. I didn't even see any door latches. Like, the doors only",
208.45999999999998,214.33999999999997," opened with a button on this enormous touchscreen. So again, like a Tesla, it's going to control everything",
